Country,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002
Albania,1900,3400,2500,3650,2630,324,2300,869,,0,0
Argentina,,,,,,30421,170273,210126,145197,191667,204027
Armenia,2000,500,4900,8080,9088,6770,9158,9830,12234,16460,16641
Australia,378000,430000,418000,379000,548000,549000,619000,741000,832000,896000,879000
Bolivia,101,94,79,127,92,182,48,24975,110,18,120
Botswana,20413,20132,22780,20461,23299,19820,22124,20960,18722,19209,21590
Brazil,39845,43568,39674,48933,46203,39952,34446,31371,31786,32734,32711
Bulgaria,47400,60400,75500,77400,84800,75500,82500,87500,93200,97100,84400
Burma,5000,3581,5025,5282,4841,2927,6700,26736,26711,25800,27500
Canada,768582,732591,616776,726293,688426,659500,705766,620085,633855,633531,603498
Chile,1932700,2055400,2219900,2488600,3115800,3392000,3686900,4391200,4602000,4739000,4580600
China,334300,345695,395630,441900,436400,495500,486800,520100,592600,587000,578100
Colombia,,,2581,2747,2222,1800,1800,2100,2018,2000,1700
"Congo, Democratic Republic",144300,60000,40642,34958,40165,39651,38236,33000,33000,37845,27359
Cuba,1500,2000,2000,1858,2362,2208,1351,1090,1346,1000,
Cyprus,,,0,0,1700,3900,4908,5006,5200,4600,3700
Czechoslovakia,1000,,,,,,,,,,
Finland,15351,13657,13243,9049,9261,8500,9500,10500,11500,11600,14400
Georgia,6000,5000,2300,5800,6900,4000,2500,1000,9000,11500,13000
Honduras,1600,1000,500,,,,,,,,
India,49036,49416,45944,46600,47800,37200,48000,35479,37511,38177,32780
Indonesia,369281,378000,434000,618000,525900,548300,809100,766100,1012000,1048700,1171726
Iran,105000,86600,117900,102200,107600,118700,128300,130000,147200,146300,140700
Japan,12074,10277,6043,2376,1145,932,1070,867,1211,744,1519
Kazakhstan,290000,263489,215444,232600,250200,316000,338600,373500,430200,469500,473700
"Korea, Dem. P.R. of",12000,12000,12000,10000,10000,10000,10000,10000,12000,12000,12000
Laos,,,,,,,,,,0,0
Macedonia,7200,10000,10000,10000,13500,13000,9100,10200,8886,5253,4739
Malaysia,28556,25182,25267,20751,20219,18821,13907,4600,,,
Mexico,279042,303989,305487,333565,340710,390536,384641,381184,364566,371123,329574
Mongolia,105100,117010,120160,121900,121000,130000,127784,128210,125868,133500,131700
Morocco,14317,14300,13400,13600,15100,15400,10700,7123,6528,5357,4994
Namibia,31313,29146,26555,22530,14904,17879,6500,0,5070,15003,18040
Norway,12734,8743,7408,6799,7394,6671,2699,,,,
Oman,13400,8800,4300,,,,,,,,
Pakistan,,,,4400,3000,,,,0,0,0
Papua New Guinea,193359,203945,206329,212737,186665,111515,151556,187921,203061,203762,211315
Peru,379128,381250,365513,409693,485595,506498,483338,536387,553924,722035,842783
Philippines,123523,136258,112075,102637,62297,48637,45381,37631,31900,20321,18365
Poland,332000,382600,378000,384200,421900,414737,435800,463200,454100,474000,502800
Portugal,152300,150430,130255,129726,107774,106580,114515,99472,76300,82965,77227
Romania,24700,25250,26034,24520,24434,22638,19065,16455,16099,19185,19323
Russia,680000,594000,573300,525900,523000,505000,530000,535000,530000,540000,662100
Saudi Arabia,,,917,925,1142,1101,782,821,837,1000,600
Serbia,,,,,,,,,,,0
Serbia and Montenegro,97811,57375,74351,74619,69467,73567,70900,51700,46000,31000,23100
South Africa,176074,189000,173000,182000,188000,185000,187800,162900,147600,141900,90000
Spain,10863,6691,5944,24519,38398,38887,39438,7862,24804,9800,1248
Sweden,89145,88909,79384,83603,71659,86610,73685,71160,77765,74269,71991
Tanzania,,,,,,,0,0,0,3600,4200
Turkey,36425,39200,43400,44500,52200,64600,73900,73051,76053,56820,48217
USA,1764756,1801382,1850000,1849100,1918300,1939600,1859400,1626400,1444100,1338600,1142400
Uzbekistan,50000,78000,49000,40000,64000,74400,74400,66000,70000,70000,80000
Vietnam,,,,,,,,700,2400,1600,1100
Zambia,432600,431500,384400,341938,339744,331235,378798,270995,249304,306909,307834
Zimbabwe,9673,8187,9350,8045,9028,6832,2941,4977,558,2057,2502
